"filename", "language", "Markdown", "JSON", "Dart", "YAML", "XML", "Swift", "Groovy", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/components/home_view_banner_ad_card.dart", "Dart", 0, 0, -28, 0, 0, 0, 0, -17, -8, -53
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/components/verse_of_the_day_card.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/bible_view/bible_view.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 48
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/bible_view/components/show_translations_bottom_sheet.dart", "Dart", 0, 0, -58, 0, 0, 0, 0, -17, -4, -79
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/bookmarked_chapter_view/bookmarked_chapter_view.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/bookmarked_chapters_view/bookmarked_chapters_view.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/church_view/church_view.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/home_view/home_view.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/introduction_view/introduction_view.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/login_wrapper.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/profile_view/components/support_card.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 17, 5, 56
