"filename", "language", "Groovy", "YAML", "Dart", "Markdown", "Properties", "XML", "Swift", "C++", "JSON", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/bible_service_provider.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/bible_translations_provider.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/bible_verses_provider.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/bookmarked_chapters_provider.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/daily_readings_provider.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/daily_readings_service_provider.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/last_translation_book_chapter_provider.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/bible_view.dart", "Dart", 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 24, 524
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/bookmarked_chapter_view.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 12, 169
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/bookmarked_chapters_view.dart", "Dart", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 10, 185
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/church_view.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 8, 98
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/current_view.dart", "Dart", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 10, 81
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/daily_readings_view.dart", "Dart", 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 11, 197
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/home_view.dart", "Dart", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 9, 78
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/profile_view.dart", "Dart", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 8, 182
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/pubspec.yaml", "YAML", 0, 36, 0, 0, 0, 0, 0, 0, 0, 54, 19, 109
"Total", "-", 89, 42, 2794, 13, 8, 138, 14, 1, 213, 161, 417, 3890
